id,name,category,status,description,deadline,instagram,keywords
1,ATP,기악예술분과,모집중,고려대학교를 움직이는 버스킹 에너지. 민주광장 버스킹 진행,2026-03-10,@ku_atp,음악;밴드;버스킹
2,JASS,기악예술분과,상시모집,재즈 음악을 사랑하는 사람들의 모임,2026-12-31,@kujass,재즈;음악;공연
3,TTP,기악예술분과,모집중,피아노를 통해 이야기하다. 타 대학 연합 공연 및 정기연주회,2026-03-15,@ttp_korea,피아노;음악;연주
4,고대농악대,기악예술분과,상시모집,고려대학교 유일의 중앙 풍물패. 민족의 흥과 전통 음악 계승,2026-12-31,@ku_nongak,전통;국악;풍물
5,고전기타부,기악예술분과,모집중,클래식 기타의 깊이 있는 선율 연주 및 정기연주회,2026-03-20,@ku_classicguitar,기타;음악;클래식
6,관악부,기악예술분과,모집중,고려대학교 관악 앙상블. 다양한 악기 편성과 연주,2026-03-18,@ku_windorchestra,음악;관악;합주
7,관현악단,기악예술분과,모집중,고려대학교 오케스트라. 클래식 음악 연주 및 정기공연,2026-03-15,@ku_orchestra,오케스트라;클래식;음악
8,국악연구회,기악예술분과,상시모집,한국 전통 음악 연구 및 연주. 국악의 아름다움 전파,2026-12-31,@ku_gugak,국악;전통;음악
9,그루터기,기악예술분과,모집중,중앙 통기타 어쿠스틱 밴드 동아리. 정기공연 및 방학 스쿨,2026-03-12,@ku_gruteogi,통기타;어쿠스틱;밴드
10,노래얼,기악예술분과,모집중,40년 역사의 중앙 노래패(밴드). 락 펑크 발라드 등 폭넓은 장르,2026-03-10,@noraeeol_ku,밴드;음악;보컬
11,크림슨(CRIMSON),기악예술분과,모집중,고려대학교 대표 락 밴드. 열정적인 무대와 정기 공연,2026-03-15,@korea_crimson,락;밴드;음악
12,KURC,사회분과,모집중,고려대학교 적십자 학생회. 1969년부터 이어진 교육 봉사활동,2026-03-20,@kurc_1969,봉사;교육;적십자
13,KUSA,사회분과,모집중,유네스코 학생회. 국제 사회 이슈 스터디 및 연합 활동,2026-03-15,@kusa_korea,국제;사회;스터디
14,KUSEP,사회분과,상시모집,환경 보호 및 생태계 보전 활동 연합 동아리,2026-12-31,@kusep_ku,환경;봉사;사회
15,고려대고양이쉼터,사회분과,상시모집,교내 길고양이 돌봄 및 구조 봉사 동아리 (고고쉼),2026-12-31,@ku_catshelter,동물;봉사;생명
16,고집,사회분과,모집중,한국해비타트 대학 CCYP. 주거 빈곤 가정을 위한 집 짓기 봉사,2026-03-25,@gozip_ku,건축;봉사;해비타트
17,로타랙트,사회분과,상시모집,국제 로타리 산하 봉사 동아리. 지역사회 공헌 활동,2026-12-31,@ku_rotaract,봉사;글로벌;네트워킹
18,운화회,사회분과,모집중,농촌 봉사활동 및 교육 봉사를 실천하는 동아리,2026-03-20,@unhwahoe,농활;봉사;교육
19,자진근로반,사회분과,상시모집,1961년 창립된 최고(最古) 중앙봉사 동아리. 지역아동센터 봉사,2026-12-31,@jajin_ku,봉사;교육;전통
20,Clo.Z,생활문화분과,모집중,고려대학교 스트릿 패션 동아리. 스타일 교류 및 룩북 촬영,2026-03-15,@cloz_ku,패션;스트릿;스타일
21,LECA,생활문화분과,상시모집,고려대학교 e-sports 클럽. 게임 토너먼트 및 친목 도모,2026-12-31,@leca_ku,게임;이스포츠;친목
22,KUSPA,생활문화분과,모집중,문화행사기획동아리. 축제 부스 및 학내 이벤트 기획,2026-03-10,@kuspa_official,기획;문화;축제
